Stage,Round,Date,Team 1,FT,Team 2
Regular Season,1,Fri Jul 26 2019,KRC Genk,2-1,KV Kortrijk
Regular Season,1,Sat Jul 27 2019,Cercle Brugge,0-2,Standard Liège
Regular Season,1,Sat Jul 27 2019,Sint-Truidense VV,0-1,Royal Excel Mouscron
Regular Season,1,Sat Jul 27 2019,Waasland-Beveren,1-3,Club Brugge
Regular Season,1,Sat Jul 27 2019,SV Zulte Waregem,0-2,KV Mechelen
Regular Season,1,Sun Jul 28 2019,RSC Anderlecht,1-2,KV Oostende
Regular Season,1,Sun Jul 28 2019,Sporting Charleroi,1-1,KAA Gent
Regular Season,1,Sun Jul 28 2019,KAS Eupen,1-4,Royal Antwerp FC
Regular Season,2,Fri Aug 2 2019,Club Brugge,6-0,Sint-Truidense VV
Regular Season,2,Sat Aug 3 2019,Standard Liège,4-0,SV Zulte Waregem
Regular Season,2,Sat Aug 3 2019,KV Kortrijk,1-1,Sporting Charleroi
Regular Season,2,Sat Aug 3 2019,KV Mechelen,3-1,KRC Genk
Regular Season,2,Sat Aug 3 2019,KV Oostende,3-1,Cercle Brugge
Regular Season,2,Sun Aug 4 2019,KAA Gent,6-1,KAS Eupen
Regular Season,2,Sun Aug 4 2019,Royal Excel Mouscron,0-0,RSC Anderlecht
Regular Season,2,Sun Aug 4 2019,Royal Antwerp FC,4-1,Waasland-Beveren
Regular Season,3,Fri Aug 9 2019,RSC Anderlecht,0-0,KV Mechelen
Regular Season,3,Sat Aug 10 2019,KV Oostende,0-2,Club Brugge
Regular Season,3,Sat Aug 10 2019,KAS Eupen,1-1,Waasland-Beveren
Regular Season,3,Sat Aug 10 2019,KRC Genk,0-2,SV Zulte Waregem
Regular Season,3,Sat Aug 10 2019,Cercle Brugge,1-3,KV Kortrijk
Regular Season,3,Sun Aug 11 2019,Sint-Truidense VV,2-1,Standard Liège
Regular Season,3,Sun Aug 11 2019,Sporting Charleroi,2-1,Royal Antwerp FC
Regular Season,3,Sun Aug 11 2019,Royal Excel Mouscron,2-1,KAA Gent
Regular Season,4,Fri Aug 16 2019,Club Brugge,0-0,KAS Eupen
Regular Season,4,Sat Aug 17 2019,KV Kortrijk,4-2,RSC Anderlecht
Regular Season,4,Sat Aug 17 2019,KV Mechelen,3-1,Cercle Brugge
Regular Season,4,Sat Aug 17 2019,Waasland-Beveren,0-4,KRC Genk
Regular Season,4,Sun Aug 18 2019,Standard Liège,4-1,Royal Excel Mouscron
Regular Season,4,Sun Aug 18 2019,KAA Gent,2-0,KV Oostende
Regular Season,4,Sun Aug 18 2019,Royal Antwerp FC,2-0,Sint-Truidense VV
Regular Season,4,Mon Aug 19 2019,SV Zulte Waregem,3-1,Sporting Charleroi
Regular Season,5,Fri Aug 23 2019,KRC Genk,1-0,RSC Anderlecht
Regular Season,5,Sat Aug 24 2019,Cercle Brugge,1-0,Waasland-Beveren
Regular Season,5,Sat Aug 24 2019,KV Oostende,2-1,KV Mechelen
Regular Season,5,Sat Aug 24 2019,Sint-Truidense VV,0-0,SV Zulte Waregem
Regular Season,5,Sun Aug 25 2019,Royal Excel Mouscron,2-0,KAS Eupen
Regular Season,5,Sun Aug 25 2019,Standard Liège,2-1,KV Kortrijk
Regular Season,6,Fri Aug 30 2019,KV Mechelen,2-2,Royal Excel Mouscron
Regular Season,6,Sat Aug 31 2019,Waasland-Beveren,0-4,Sporting Charleroi
Regular Season,6,Sat Aug 31 2019,KV Kortrijk,2-2,KV Oostende
Regular Season,6,Sat Aug 31 2019,KAS Eupen,0-2,Sint-Truidense VV
Regular Season,6,Sun Sep 1 2019,SV Zulte Waregem,2-0,Royal Antwerp FC
Regular Season,6,Sun Sep 1 2019,KAA Gent,3-2,Cercle Brugge
Regular Season,6,Sun Sep 1 2019,RSC Anderlecht,1-0,Standard Liège
Regular Season,6,Sun Sep 1 2019,Club Brugge,1-1,KRC Genk
Regular Season,7,Fri Sep 13 2019,Sporting Charleroi,2-1,KRC Genk
Regular Season,7,Sat Sep 14 2019,Cercle Brugge,0-2,Club Brugge
Regular Season,7,Sat Sep 14 2019,Sint-Truidense VV,1-1,Waasland-Beveren
Regular Season,7,Sat Sep 14 2019,KV Oostende,1-4,Standard Liège
Regular Season,7,Sat Sep 14 2019,KAS Eupen,1-1,SV Zulte Waregem
Regular Season,7,Sun Sep 15 2019,KAA Gent,3-0,KV Mechelen
Regular Season,7,Sun Sep 15 2019,Royal Excel Mouscron,2-0,KV Kortrijk
Regular Season,7,Sun Sep 15 2019,RSC Anderlecht,1-2,Royal Antwerp FC
Regular Season,8,Fri Sep 20 2019,KV Kortrijk,2-3,KV Mechelen
Regular Season,8,Sat Sep 21 2019,Royal Antwerp FC,3-1,Cercle Brugge
Regular Season,8,Sat Sep 21 2019,KRC Genk,3-1,KV Oostende
Regular Season,8,Sat Sep 21 2019,Sporting Charleroi,0-3,Sint-Truidense VV
Regular Season,8,Sat Sep 21 2019,Waasland-Beveren,1-1,Royal Excel Mouscron
Regular Season,8,Sun Sep 22 2019,SV Zulte Waregem,2-2,KAA Gent
Regular Season,8,Sun Sep 22 2019,Club Brugge,2-1,RSC Anderlecht
Regular Season,8,Sun Sep 22 2019,Standard Liège,3-0,KAS Eupen
Regular Season,9,Sat Sep 28 2019,KAA Gent,2-0,KV Kortrijk
Regular Season,9,Sat Sep 28 2019,Sint-Truidense VV,3-3,KRC Genk
Regular Season,9,Sat Sep 28 2019,KV Mechelen,0-5,Club Brugge
Regular Season,9,Sat Sep 28 2019,Cercle Brugge,1-2,KAS Eupen
Regular Season,9,Sat Sep 28 2019,Royal Excel Mouscron,2-2,SV Zulte Waregem
Regular Season,9,Sun Sep 29 2019,KV Oostende,1-1,Royal Antwerp FC
Regular Season,9,Sun Sep 29 2019,Standard Liège,1-1,Sporting Charleroi
Regular Season,9,Sun Sep 29 2019,RSC Anderlecht,0-0,Waasland-Beveren
Regular Season,10,Fri Oct 4 2019,Sporting Charleroi,1-2,RSC Anderlecht
Regular Season,10,Sat Oct 5 2019,KAS Eupen,0-2,KV Mechelen
Regular Season,10,Sat Oct 5 2019,Waasland-Beveren,3-1,KV Oostende
Regular Season,10,Sat Oct 5 2019,KV Kortrijk,4-0,Sint-Truidense VV
Regular Season,10,Sat Oct 5 2019,SV Zulte Waregem,6-0,Cercle Brugge
Regular Season,10,Sun Oct 6 2019,Club Brugge,4-0,KAA Gent
Regular Season,10,Sun Oct 6 2019,Royal Antwerp FC,2-2,Standard Liège
Regular Season,10,Sun Oct 6 2019,KRC Genk,2-1,Royal Excel Mouscron
Regular Season,11,Fri Oct 18 2019,Royal Excel Mouscron,0-1,Club Brugge
Regular Season,11,Sat Oct 19 2019,KAA Gent,2-0,Waasland-Beveren
Regular Season,11,Sat Oct 19 2019,KV Oostende,2-3,KAS Eupen
Regular Season,11,Sat Oct 19 2019,Standard Liège,1-0,KRC Genk
Regular Season,11,Sat Oct 19 2019,KV Kortrijk,2-0,SV Zulte Waregem
Regular Season,11,Sun Oct 20 2019,Cercle Brugge,0-3,Sporting Charleroi
Regular Season,11,Sun Oct 20 2019,RSC Anderlecht,4-1,Sint-Truidense VV
Regular Season,11,Sun Oct 20 2019,KV Mechelen,3-1,Royal Antwerp FC
Regular Season,12,Fri Oct 25 2019,KAS Eupen,0-0,RSC Anderlecht
Regular Season,12,Sat Oct 26 2019,Sporting Charleroi,1-0,Royal Excel Mouscron
Regular Season,12,Sat Oct 26 2019,KRC Genk,1-0,Cercle Brugge
Regular Season,12,Sat Oct 26 2019,Royal Antwerp FC,3-1,KV Kortrijk
Regular Season,12,Sat Oct 26 2019,SV Zulte Waregem,2-0,KV Oostende
Regular Season,12,Sun Oct 27 2019,Sint-Truidense VV,0-0,KAA Gent
Regular Season,12,Sun Oct 27 2019,Club Brugge,1-1,Standard Liège
Regular Season,12,Sun Oct 27 2019,Waasland-Beveren,1-3,KV Mechelen
Regular Season,13,Tue Oct 29 2019,KV Oostende,0-1,Sporting Charleroi
Regular Season,13,Tue Oct 29 2019,Cercle Brugge,2-2,Royal Excel Mouscron
Regular Season,13,Tue Oct 29 2019,KV Kortrijk,1-2,KAS Eupen
Regular Season,13,Wed Oct 30 2019,SV Zulte Waregem,0-2,Club Brugge
Regular Season,13,Wed Oct 30 2019,KV Mechelen,1-2,Sint-Truidense VV
Regular Season,13,Wed Oct 30 2019,KRC Genk,2-2,Royal Antwerp FC
Regular Season,13,Wed Oct 30 2019,Standard Liège,2-0,Waasland-Beveren
Regular Season,13,Thu Oct 31 2019,RSC Anderlecht,3-3,KAA Gent
Regular Season,14,Sat Nov 2 2019,KAS Eupen,2-0,KRC Genk
Regular Season,14,Sat Nov 2 2019,Waasland-Beveren,1-2,SV Zulte Waregem
Regular Season,14,Sat Nov 2 2019,Club Brugge,3-0,KV Kortrijk
Regular Season,14,Sat Nov 2 2019,Royal Excel Mouscron,3-1,Royal Antwerp FC
Regular Season,14,Sat Nov 2 2019,Sint-Truidense VV,1-0,KV Oostende
Regular Season,14,Sun Nov 3 2019,KV Mechelen,2-2,Sporting Charleroi
Regular Season,14,Sun Nov 3 2019,KAA Gent,3-1,Standard Liège
Regular Season,14,Sun Nov 3 2019,RSC Anderlecht,2-1,Cercle Brugge
Regular Season,15,Fri Nov 8 2019,SV Zulte Waregem,1-2,RSC Anderlecht
Regular Season,15,Sat Nov 9 2019,KV Oostende,2-2,Royal Excel Mouscron
Regular Season,15,Sat Nov 9 2019,Cercle Brugge,2-1,Sint-Truidense VV
Regular Season,15,Sat Nov 9 2019,Sporting Charleroi,1-0,KAS Eupen
Regular Season,15,Sat Nov 9 2019,KV Kortrijk,1-3,Waasland-Beveren
Regular Season,15,Sun Nov 10 2019,Standard Liège,1-2,KV Mechelen
Regular Season,15,Sun Nov 10 2019,KRC Genk,0-2,KAA Gent
Regular Season,15,Sun Nov 10 2019,Royal Antwerp FC,2-1,Club Brugge
Regular Season,5,Thu Nov 21 2019,Royal Antwerp FC,3-2,KAA Gent
Regular Season,16,Fri Nov 22 2019,Club Brugge,2-0,KV Oostende
Regular Season,16,Sat Nov 23 2019,Waasland-Beveren,1-1,Cercle Brugge
Regular Season,16,Sat Nov 23 2019,KAS Eupen,1-2,Standard Liège
Regular Season,16,Sat Nov 23 2019,KV Mechelen,0-2,SV Zulte Waregem
Regular Season,16,Sat Nov 23 2019,Royal Excel Mouscron,2-2,KRC Genk
Regular Season,16,Sun Nov 24 2019,Sint-Truidense VV,1-3,Sporting Charleroi
Regular Season,16,Sun Nov 24 2019,KAA Gent,1-1,Royal Antwerp FC
Regular Season,16,Sun Nov 24 2019,RSC Anderlecht,0-0,KV Kortrijk
Regular Season,17,Fri Nov 29 2019,Royal Antwerp FC,1-0,KV Mechelen
Regular Season,17,Sat Nov 30 2019,Club Brugge,1-0,Royal Excel Mouscron
Regular Season,17,Sat Nov 30 2019,KRC Genk,1-2,Sint-Truidense VV
Regular Season,17,Sat Nov 30 2019,SV Zulte Waregem,1-0,KAS Eupen
Regular Season,17,Sat Nov 30 2019,Sporting Charleroi,2-0,Waasland-Beveren
Regular Season,17,Sun Dec 1 2019,KV Kortrijk,0-2,KAA Gent
Regular Season,17,Sun Dec 1 2019,KV Oostende,3-2,RSC Anderlecht
Regular Season,17,Sun Dec 1 2019,Standard Liège,2-1,Cercle Brugge
Regular Season,18,Fri Dec 6 2019,Waasland-Beveren,0-4,Royal Antwerp FC
Regular Season,18,Sat Dec 7 2019,KV Mechelen,1-1,KV Kortrijk
Regular Season,18,Sat Dec 7 2019,Cercle Brugge,1-2,KRC Genk
Regular Season,18,Sat Dec 7 2019,KAA Gent,2-0,SV Zulte Waregem
Regular Season,18,Sat Dec 7 2019,Sint-Truidense VV,1-2,Club Brugge
Regular Season,18,Sun Dec 8 2019,Royal Excel Mouscron,2-2,Standard Liège
Regular Season,18,Sun Dec 8 2019,KAS Eupen,1-0,KV Oostende
Regular Season,18,Sun Dec 8 2019,RSC Anderlecht,0-0,Sporting Charleroi
Regular Season,19,Fri Dec 13 2019,KV Kortrijk,1-2,Royal Excel Mouscron
Regular Season,19,Sat Dec 14 2019,KRC Genk,4-1,Waasland-Beveren
Regular Season,19,Sat Dec 14 2019,Royal Antwerp FC,1-0,KAS Eupen
Regular Season,19,Sat Dec 14 2019,SV Zulte Waregem,5-1,Sint-Truidense VV
Regular Season,19,Sat Dec 14 2019,Sporting Charleroi,3-0,Cercle Brugge
Regular Season,19,Sun Dec 15 2019,KV Oostende,2-1,KAA Gent
Regular Season,19,Sun Dec 15 2019,Club Brugge,3-0,KV Mechelen
Regular Season,19,Sun Dec 15 2019,Standard Liège,1-1,RSC Anderlecht
Regular Season,20,Fri Dec 20 2019,KV Mechelen,1-0,KV Oostende
Regular Season,20,Sat Dec 21 2019,Royal Excel Mouscron,1-1,Sporting Charleroi
Regular Season,20,Sat Dec 21 2019,Cercle Brugge,2-0,SV Zulte Waregem
Regular Season,20,Sat Dec 21 2019,KAS Eupen,1-2,KV Kortrijk
Regular Season,20,Sat Dec 21 2019,Waasland-Beveren,2-1,Standard Liège
Regular Season,20,Sun Dec 22 2019,KAA Gent,1-1,Club Brugge
Regular Season,20,Sun Dec 22 2019,RSC Anderlecht,2-0,KRC Genk
Regular Season,20,Sun Dec 22 2019,Sint-Truidense VV,1-1,Royal Antwerp FC
Regular Season,21,Thu Dec 26 2019,Standard Liège,0-1,KAA Gent
Regular Season,21,Thu Dec 26 2019,KRC Genk,2-1,KAS Eupen
Regular Season,21,Thu Dec 26 2019,KV Kortrijk,1-0,Cercle Brugge
Regular Season,21,Thu Dec 26 2019,Royal Excel Mouscron,1-2,KV Mechelen
Regular Season,21,Thu Dec 26 2019,Club Brugge,4-0,SV Zulte Waregem
Regular Season,21,Thu Dec 26 2019,Waasland-Beveren,1-0,Sint-Truidense VV
Regular Season,21,Fri Dec 27 2019,Royal Antwerp FC,0-0,RSC Anderlecht
Regular Season,21,Fri Dec 27 2019,Sporting Charleroi,5-0,KV Oostende
Regular Season,22,Fri Jan 17 2020,KV Mechelen,2-3,Standard Liège
Regular Season,22,Sat Jan 18 2020,KV Oostende,0-1,Waasland-Beveren
Regular Season,22,Sat Jan 18 2020,Sint-Truidense VV,2-0,KV Kortrijk
Regular Season,22,Sat Jan 18 2020,KAA Gent,3-1,Royal Excel Mouscron
Regular Season,22,Sat Jan 18 2020,KAS Eupen,1-1,Sporting Charleroi
Regular Season,22,Sun Jan 19 2020,RSC Anderlecht,1-2,Club Brugge
Regular Season,22,Sun Jan 19 2020,Cercle Brugge,1-2,Royal Antwerp FC
Regular Season,22,Sun Jan 19 2020,SV Zulte Waregem,0-3,KRC Genk
Regular Season,23,Fri Jan 24 2020,Standard Liège,2-1,KV Oostende
Regular Season,23,Sat Jan 25 2020,KAA Gent,4-1,KRC Genk
Regular Season,23,Sat Jan 25 2020,Royal Excel Mouscron,1-3,Sint-Truidense VV
Regular Season,23,Sat Jan 25 2020,Waasland-Beveren,0-1,KAS Eupen
Regular Season,23,Sun Jan 26 2020,Cercle Brugge,1-2,RSC Anderlecht
Regular Season,23,Sun Jan 26 2020,Royal Antwerp FC,2-1,SV Zulte Waregem
Regular Season,23,Sun Jan 26 2020,KV Kortrijk,2-2,Club Brugge
Regular Season,5,Wed Jan 29 2020,Sporting Charleroi,0-0,Club Brugge
Regular Season,24,Fri Jan 31 2020,KV Kortrijk,3-1,Standard Liège
Regular Season,24,Sat Feb 1 2020,KRC Genk,1-0,Sporting Charleroi
Regular Season,24,Sat Feb 1 2020,KAS Eupen,1-0,Cercle Brugge
Regular Season,24,Sat Feb 1 2020,KV Mechelen,0-3,KAA Gent
Regular Season,24,Sat Feb 1 2020,KV Oostende,1-0,Sint-Truidense VV
Regular Season,24,Sun Feb 2 2020,RSC Anderlecht,1-0,Royal Excel Mouscron
Regular Season,24,Sun Feb 2 2020,SV Zulte Waregem,5-0,Waasland-Beveren
Regular Season,24,Sun Feb 2 2020,Club Brugge,1-0,Royal Antwerp FC
Regular Season,25,Fri Feb 7 2020,KAA Gent,1-1,RSC Anderlecht
Regular Season,25,Sat Feb 8 2020,Sporting Charleroi,4-0,SV Zulte Waregem
Regular Season,25,Sat Feb 8 2020,Royal Excel Mouscron,3-1,KV Oostende
Regular Season,25,Sat Feb 8 2020,Cercle Brugge,3-2,KV Mechelen
Regular Season,25,Sat Feb 8 2020,Sint-Truidense VV,5-2,KAS Eupen
Regular Season,23,Tue Feb 11 2020,Sporting Charleroi,2-1,KV Mechelen
Regular Season,25,Wed Feb 12 2020,Waasland-Beveren,1-2,KV Kortrijk
Regular Season,25,Wed Feb 12 2020,Standard Liège,0-0,Club Brugge
Regular Season,25,Thu Feb 13 2020,Royal Antwerp FC,1-1,KRC Genk
Regular Season,26,Fri Feb 14 2020,KAS Eupen,2-3,KAA Gent
Regular Season,26,Sat Feb 15 2020,Club Brugge,2-1,Waasland-Beveren
Regular Season,26,Sat Feb 15 2020,KV Oostende,0-3,KV Kortrijk
Regular Season,26,Sat Feb 15 2020,KV Mechelen,2-0,RSC Anderlecht
Regular Season,26,Sat Feb 15 2020,Sint-Truidense VV,0-1,Cercle Brugge
Regular Season,26,Sun Feb 16 2020,SV Zulte Waregem,1-2,Royal Excel Mouscron
Regular Season,26,Sun Feb 16 2020,KRC Genk,1-3,Standard Liège
Regular Season,26,Sun Feb 16 2020,Royal Antwerp FC,1-1,Sporting Charleroi
Regular Season,27,Fri Feb 21 2020,KV Kortrijk,0-1,KRC Genk
Regular Season,27,Sat Feb 22 2020,Royal Excel Mouscron,0-1,Cercle Brugge
Regular Season,27,Sat Feb 22 2020,Standard Liège,1-0,Royal Antwerp FC
Regular Season,27,Sat Feb 22 2020,KV Mechelen,4-0,Waasland-Beveren
Regular Season,27,Sat Feb 22 2020,KV Oostende,1-1,SV Zulte Waregem
Regular Season,27,Sun Feb 23 2020,Club Brugge,1-0,Sporting Charleroi
Regular Season,27,Sun Feb 23 2020,RSC Anderlecht,6-1,KAS Eupen
Regular Season,27,Sun Feb 23 2020,KAA Gent,4-1,Sint-Truidense VV
Regular Season,28,Fri Feb 28 2020,Sint-Truidense VV,0-3,KV Mechelen
Regular Season,28,Sat Feb 29 2020,Waasland-Beveren,0-3,RSC Anderlecht
Regular Season,28,Sat Feb 29 2020,Royal Antwerp FC,3-1,KV Oostende
Regular Season,28,Sat Feb 29 2020,SV Zulte Waregem,2-2,KV Kortrijk
Regular Season,28,Sat Feb 29 2020,KAS Eupen,2-1,Royal Excel Mouscron
Regular Season,28,Sun Mar 1 2020,KRC Genk,1-2,Club Brugge
Regular Season,28,Sun Mar 1 2020,Cercle Brugge,1-0,KAA Gent
Regular Season,28,Sun Mar 1 2020,Sporting Charleroi,2-0,Standard Liège
Regular Season,29,Sat Mar 7 2020,Club Brugge,2-1,Cercle Brugge
Regular Season,29,Sat Mar 7 2020,RSC Anderlecht,7-0,SV Zulte Waregem
Regular Season,29,Sat Mar 7 2020,KV Mechelen,1-1,KAS Eupen
Regular Season,29,Sat Mar 7 2020,KAA Gent,1-4,Sporting Charleroi
Regular Season,29,Sat Mar 7 2020,KV Kortrijk,0-1,Royal Antwerp FC
Regular Season,29,Sat Mar 7 2020,Royal Excel Mouscron,1-0,Waasland-Beveren
Regular Season,29,Sat Mar 7 2020,KV Oostende,2-4,KRC Genk
Regular Season,29,Sat Mar 7 2020,Standard Liège,0-0,Sint-Truidense VV
Regular Season,30,Sun Mar 15 2020,KRC Genk,,KV Mechelen
Regular Season,30,Sun Mar 15 2020,KAS Eupen,,Club Brugge
Regular Season,30,Sun Mar 15 2020,SV Zulte Waregem,,Standard Liège
Regular Season,30,Sun Mar 15 2020,Cercle Brugge,,KV Oostende
Regular Season,30,Sun Mar 15 2020,Sporting Charleroi,,KV Kortrijk
Regular Season,30,Sun Mar 15 2020,Royal Antwerp FC,,Royal Excel Mouscron
Regular Season,30,Sun Mar 15 2020,Waasland-Beveren,,KAA Gent
Regular Season,30,Sun Mar 15 2020,Sint-Truidense VV,,RSC Anderlecht
